[datetime.datetime(2019, 10, 11, 0, 0, 2, 670259), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 5, 2, 610974), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 10, 2, 669269), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 15, 2, 237970), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 20, 1, 988449), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 25, 1, 958407), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 30, 1, 872208), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 35, 1, 906790), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 40, 2, 384261), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 45, 2, 464872), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 50, 1, 955408), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 0, 55, 1, 891834), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 1, 0, 2, 647749), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 1, 5, 2, 254694), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 11, 1, 10, 1, 891659), {'all': {'len': 11, 'sum': 95.13400000000001}, 'pa': {'len': 5, 'sum': 94.47500000000001}, 'tbs': {'len': 3, 'sum': 0.313}}]
[datetime.datetime(2019, 10, 11, 1, 30, 2, 77163), {'all': {'len': 20, 'sum': 2.316}, 'pa': {'len': 2, 'sum': 0.24}, 'tbs': {'len': 10, 'sum': 1.169}}]
[datetime.datetime(2019, 10, 11, 1, 35, 2, 63008), {'all': {'len': 23, 'sum': 2.5100000000000002}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 10, 'sum': 1.1360000000000001}}]
[datetime.datetime(2019, 10, 11, 1, 40, 2, 526994), {'all': {'len': 6, 'sum': 0.619}, 'pa': {'len': 1, 'sum': 0.106}, 'tbs': {'len': 2, 'sum': 0.2}}]
[datetime.datetime(2019, 10, 11, 1, 45, 2, 296195), {'all': {'len': 8, 'sum': 1.15}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 6, 'sum': 0.96}}]
[datetime.datetime(2019, 10, 11, 1, 50, 2, 476528), {'all': {'len': 11, 'sum': 1.218}, 'pa': {'len': 3, 'sum': 0.296}, 'tbs': {'len': 3, 'sum': 0.41300000000000003}}]
[datetime.datetime(2019, 10, 11, 1, 55, 2, 58934), {'all': {'len': 8, 'sum': 0.789}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 6, 'sum': 0.603}}]
[datetime.datetime(2019, 10, 11, 2, 0, 1, 827381), {'all': {'len': 31, 'sum': 3.204999999999999}, 'pa': {'len': 1, 'sum': 0.123}, 'tbs': {'len': 18, 'sum': 1.86}}]
[datetime.datetime(2019, 10, 11, 2, 5, 2, 428045), {'all': {'len': 8, 'sum': 0.765}, 'pa': {'len': 3, 'sum': 0.306}, 'tbs': {'len': 2, 'sum': 0.183}}]
[datetime.datetime(2019, 10, 11, 2, 10, 1, 761756), {'all': {'len': 39, 'sum': 3.991}, 'pa': {'len': 1, 'sum': 0.123}, 'tbs': {'len': 21, 'sum': 2.1740000000000004}}]
[datetime.datetime(2019, 10, 11, 2, 20, 2, 372772), {'all': {'len': 6, 'sum': 0.6769999999999999}, 'pa': {'len': 1, 'sum': 0.086}, 'tbs': {'len': 1, 'sum': 0.123}}]
[datetime.datetime(2019, 10, 11, 2, 25, 2, 361997), {'all': {'len': 6, 'sum': 0.7109999999999999}, 'pa': {'len': 1, 'sum': 0.093}, 'tbs': {'len': 3, 'sum': 0.454}}]
[datetime.datetime(2019, 10, 11, 2, 30, 2, 261659), {'all': {'len': 28, 'sum': 3.084}, 'pa': {'len': 1, 'sum': 0.093}, 'tbs': {'len': 17, 'sum': 1.98}}]
[datetime.datetime(2019, 10, 11, 2, 35, 1, 916146), {'all': {'len': 6, 'sum': 0.59}, 'pa': {'len': 2, 'sum': 0.187}, 'tbs': {'len': 3, 'sum': 0.31}}]
[datetime.datetime(2019, 10, 11, 2, 40, 1, 803582), {'all': {'len': 8, 'sum': 1.058}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 5, 'sum': 0.725}}]
