[datetime.datetime(2019, 11, 10, 0, 0, 2, 103598), {'all': {'len': 18, 'sum': 276.493}, 'pa': {'len': 18, 'sum': 276.493}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 5, 2, 649632), {'all': {'len': 19, 'sum': 364.116}, 'pa': {'len': 19, 'sum': 364.116}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 10, 2, 586098), {'all': {'len': 18, 'sum': 342.42099999999994}, 'pa': {'len': 18, 'sum': 342.42099999999994}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 15, 2, 538227), {'all': {'len': 17, 'sum': 305.823}, 'pa': {'len': 17, 'sum': 305.823}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 20, 1, 848784), {'all': {'len': 15, 'sum': 303.184}, 'pa': {'len': 15, 'sum': 303.184}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 25, 1, 782143), {'all': {'len': 16, 'sum': 260.79}, 'pa': {'len': 16, 'sum': 260.79}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 30, 2, 596428), {'all': {'len': 17, 'sum': 324.48499999999996}, 'pa': {'len': 17, 'sum': 324.48499999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 35, 2, 529433), {'all': {'len': 18, 'sum': 360.87800000000004}, 'pa': {'len': 18, 'sum': 360.87800000000004}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 40, 2, 477897), {'all': {'len': 19, 'sum': 379.04400000000004}, 'pa': {'len': 18, 'sum': 378.971}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 45, 2, 126539), {'all': {'len': 17, 'sum': 374.08}, 'pa': {'len': 17, 'sum': 374.08}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 50, 2, 580712), {'all': {'len': 16, 'sum': 241.00500000000005}, 'pa': {'len': 16, 'sum': 241.00500000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 0, 55, 2, 6933), {'all': {'len': 17, 'sum': 269.63499999999993}, 'pa': {'len': 17, 'sum': 269.63499999999993}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 1, 0, 2, 382733), {'all': {'len': 18, 'sum': 327.63399999999996}, 'pa': {'len': 18, 'sum': 327.63399999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 1, 5, 1, 817528), {'all': {'len': 17, 'sum': 298.53799999999995}, 'pa': {'len': 17, 'sum': 298.53799999999995}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 1, 10, 2, 312749), {'all': {'len': 19, 'sum': 328.0330000000001}, 'pa': {'len': 19, 'sum': 328.0330000000001}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 10, 1, 15, 1, 813365), {'all': {'len': 20, 'sum': 432.157}, 'pa': {'len': 20, 'sum': 432.157}, 'tbs': {'len': 0, 'sum': 0}}]
