[datetime.datetime(2019, 10, 10, 0, 0, 1, 893382), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 5, 1, 726046), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 10, 2, 339798), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 15, 1, 630395), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 20, 1, 723680), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 25, 2, 566659), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 30, 1, 730305), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 35, 1, 642913), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 40, 1, 703468), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 45, 1, 887190), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 50, 2, 279599), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 0, 55, 1, 900974), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 1, 0, 1, 908183), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 1, 5, 2, 308298), {'all': {'len': 4, 'sum': 78.07300000000001}, 'pa': {'len': 4, 'sum': 78.07300000000001}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 10, 1, 10, 1, 567169), {'all': {'len': 16, 'sum': 1.6400000000000001}, 'pa': {'len': 2, 'sum': 0.186}, 'tbs': {'len': 10, 'sum': 1.129}}]
[datetime.datetime(2019, 10, 10, 1, 15, 2, 66110), {'all': {'len': 41, 'sum': 4.1370000000000005}, 'pa': {'len': 2, 'sum': 0.19}, 'tbs': {'len': 15, 'sum': 1.523}}]
[datetime.datetime(2019, 10, 10, 1, 20, 2, 47234), {'all': {'len': 25, 'sum': 2.217}, 'pa': {'len': 3, 'sum': 0.243}, 'tbs': {'len': 11, 'sum': 0.97}}]
[datetime.datetime(2019, 10, 10, 1, 30, 2, 328271), {'all': {'len': 9, 'sum': 0.7799999999999999}, 'pa': {'len': 2, 'sum': 0.15}, 'tbs': {'len': 4, 'sum': 0.33799999999999997}}]
[datetime.datetime(2019, 10, 10, 1, 35, 2, 321019), {'all': {'len': 7, 'sum': 0.647}, 'pa': {'len': 1, 'sum': 0.09}, 'tbs': {'len': 2, 'sum': 0.201}}]
[datetime.datetime(2019, 10, 10, 1, 40, 1, 867878), {'all': {'len': 19, 'sum': 1.864}, 'pa': {'len': 3, 'sum': 0.31899999999999995}, 'tbs': {'len': 12, 'sum': 1.197}}]
[datetime.datetime(2019, 10, 10, 1, 45, 1, 646090), {'all': {'len': 21, 'sum': 2.165}, 'pa': {'len': 2, 'sum': 0.263}, 'tbs': {'len': 11, 'sum': 1.095}}]
[datetime.datetime(2019, 10, 10, 1, 50, 1, 668395), {'all': {'len': 10, 'sum': 1.129}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 6, 'sum': 0.714}}]
[datetime.datetime(2019, 10, 10, 1, 55, 1, 635305), {'all': {'len': 14, 'sum': 1.536}, 'pa': {'len': 2, 'sum': 0.22999999999999998}, 'tbs': {'len': 9, 'sum': 0.996}}]
[datetime.datetime(2019, 10, 10, 2, 0, 2, 118433), {'all': {'len': 14, 'sum': 1.2319999999999998}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 9, 'sum': 0.7699999999999999}}]
[datetime.datetime(2019, 10, 10, 2, 10, 2, 275365), {'all': {'len': 15, 'sum': 1.4910000000000003}, 'pa': {'len': 3, 'sum': 0.254}, 'tbs': {'len': 10, 'sum': 1.034}}]
[datetime.datetime(2019, 10, 10, 2, 15, 2, 303784), {'all': {'len': 22, 'sum': 2.093}, 'pa': {'len': 4, 'sum': 0.351}, 'tbs': {'len': 10, 'sum': 0.9789999999999999}}]
