[datetime.datetime(2019, 11, 8, 0, 0, 2, 705011), {'all': {'len': 8, 'sum': 1.051}, 'pa': {'len': 1, 'sum': 0.093}, 'tbs': {'len': 4, 'sum': 0.589}}]
[datetime.datetime(2019, 11, 8, 0, 5, 2, 687066), {'all': {'len': 15, 'sum': 1.744}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 11, 'sum': 1.405}}]
[datetime.datetime(2019, 11, 8, 0, 10, 1, 901691), {'all': {'len': 26, 'sum': 6.043}, 'pa': {'len': 2, 'sum': 0.182}, 'tbs': {'len': 2, 'sum': 0.323}}]
[datetime.datetime(2019, 11, 8, 0, 15, 2, 665313), {'all': {'len': 33, 'sum': 3.9280000000000013}, 'pa': {'len': 3, 'sum': 0.263}, 'tbs': {'len': 15, 'sum': 1.9400000000000006}}]
[datetime.datetime(2019, 11, 8, 0, 30, 2, 608005), {'all': {'len': 20, 'sum': 1.999}, 'pa': {'len': 1, 'sum': 0.11}, 'tbs': {'len': 5, 'sum': 0.577}}]
[datetime.datetime(2019, 11, 8, 0, 35, 2, 589637), {'all': {'len': 9, 'sum': 0.7510000000000001}, 'pa': {'len': 2, 'sum': 0.184}, 'tbs': {'len': 5, 'sum': 0.397}}]
[datetime.datetime(2019, 11, 8, 0, 40, 2, 181854), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 0, 45, 2, 399030), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 0, 50, 2, 407751), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 0, 55, 2, 612943), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 0, 2, 493795), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 5, 2, 185365), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 10, 1, 749439), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 15, 2, 370277), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 20, 1, 969176), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 25, 2, 645582), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 30, 2, 325583), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 35, 2, 142094), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 40, 2, 32397), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 45, 2, 238862), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 50, 2, 472251), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 1, 55, 2, 111239), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 0, 2, 133155), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 5, 2, 96893), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 10, 2, 200970), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 15, 2, 90613), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 20, 2, 694794), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 25, 1, 877963), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 30, 2, 368994), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 35, 1, 760281), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 40, 1, 927947), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 45, 2, 650120), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 50, 1, 859690), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 2, 55, 2, 578880), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 0, 2, 199926), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 5, 2, 61318), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 10, 2, 500201), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 15, 2, 13782), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 20, 2, 530841), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 25, 2, 1491), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 30, 2, 54809), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 35, 2, 365537), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 40, 1, 894417), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 45, 2, 145585), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 50, 2, 584093), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 3, 55, 2, 44113), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 0, 2, 270047), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 5, 2, 136826), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 10, 2, 305233), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 15, 2, 408566), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 20, 2, 213770), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 25, 2, 99039), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 30, 1, 997060), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 35, 2, 556546), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 40, 1, 954235), {'all': {'len': 14, 'sum': 234.58900000000003}, 'pa': {'len': 14, 'sum': 234.58900000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 45, 1, 994377), {'all': {'len': 17, 'sum': 325.223}, 'pa': {'len': 17, 'sum': 325.223}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 4, 50, 2, 454585), {'all': {'len': 20, 'sum': 210.011}, 'pa': {'len': 13, 'sum': 209.32300000000004}, 'tbs': {'len': 3, 'sum': 0.263}}]
[datetime.datetime(2019, 11, 8, 4, 55, 1, 860308), {'all': {'len': 12, 'sum': 1.118}, 'pa': {'len': 2, 'sum': 0.186}, 'tbs': {'len': 3, 'sum': 0.273}}]
[datetime.datetime(2019, 11, 8, 5, 0, 2, 441538), {'all': {'len': 9, 'sum': 1.02}, 'pa': {'len': 3, 'sum': 0.337}, 'tbs': {'len': 6, 'sum': 0.6829999999999999}}]
[datetime.datetime(2019, 11, 8, 5, 5, 2, 659195), {'all': {'len': 18, 'sum': 1.6609999999999996}, 'pa': {'len': 1, 'sum': 0.09}, 'tbs': {'len': 8, 'sum': 0.74}}]
[datetime.datetime(2019, 11, 8, 5, 10, 2, 716701), {'all': {'len': 15, 'sum': 2.059}, 'pa': {'len': 1, 'sum': 0.17}, 'tbs': {'len': 7, 'sum': 0.883}}]
[datetime.datetime(2019, 11, 8, 5, 15, 2, 42812), {'all': {'len': 17, 'sum': 1.5139999999999998}, 'pa': {'len': 3, 'sum': 0.27}, 'tbs': {'len': 11, 'sum': 0.988}}]
[datetime.datetime(2019, 11, 8, 5, 20, 2, 389133), {'all': {'len': 39, 'sum': 3.9139999999999997}, 'pa': {'len': 3, 'sum': 0.30000000000000004}, 'tbs': {'len': 21, 'sum': 2.124}}]
[datetime.datetime(2019, 11, 8, 5, 25, 2, 177859), {'all': {'len': 6, 'sum': 0.723}, 'pa': {'len': 1, 'sum': 0.093}, 'tbs': {'len': 4, 'sum': 0.537}}]
[datetime.datetime(2019, 11, 8, 5, 30, 2, 592962), {'all': {'len': 67, 'sum': 213.13999999999993}, 'pa': {'len': 1, 'sum': 0.107}, 'tbs': {'len': 48, 'sum': 209.96799999999996}}]
[datetime.datetime(2019, 11, 8, 5, 35, 1, 939926), {'all': {'len': 174, 'sum': 1700.952}, 'pa': {'len': 2, 'sum': 0.16899999999999998}, 'tbs': {'len': 10, 'sum': 0.955}}]
[datetime.datetime(2019, 11, 8, 5, 40, 2, 45304), {'all': {'len': 7, 'sum': 0.913}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 4, 'sum': 0.476}}]
[datetime.datetime(2019, 11, 8, 5, 45, 1, 910185), {'all': {'len': 17, 'sum': 1.842}, 'pa': {'len': 2, 'sum': 0.20400000000000001}, 'tbs': {'len': 8, 'sum': 0.912}}]
[datetime.datetime(2019, 11, 8, 5, 50, 1, 719640), {'all': {'len': 15, 'sum': 1.402}, 'pa': {'len': 1, 'sum': 0.09}, 'tbs': {'len': 8, 'sum': 0.739}}]
[datetime.datetime(2019, 11, 8, 6, 0, 2, 176431), {'all': {'len': 15, 'sum': 1.755}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 10, 'sum': 1.179}}]
[datetime.datetime(2019, 11, 8, 6, 5, 2, 128429), {'all': {'len': 6, 'sum': 0.6799999999999999}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 2, 'sum': 0.22999999999999998}}]
[datetime.datetime(2019, 11, 8, 6, 10, 2, 595937), {'all': {'len': 13, 'sum': 1.2369999999999999}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 7, 'sum': 0.6789999999999999}}]
[datetime.datetime(2019, 11, 8, 6, 15, 2, 173151), {'all': {'len': 10, 'sum': 1.029}, 'pa': {'len': 3, 'sum': 0.32}, 'tbs': {'len': 2, 'sum': 0.203}}]
[datetime.datetime(2019, 11, 8, 6, 20, 1, 913464), {'all': {'len': 17, 'sum': 1.751}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 11, 'sum': 1.177}}]
[datetime.datetime(2019, 11, 8, 6, 25, 2, 568403), {'all': {'len': 6, 'sum': 0.6579999999999999}, 'pa': {'len': 1, 'sum': 0.107}, 'tbs': {'len': 2, 'sum': 0.214}}]
[datetime.datetime(2019, 11, 8, 6, 30, 2, 112617), {'all': {'len': 11, 'sum': 1.022}, 'pa': {'len': 1, 'sum': 0.076}, 'tbs': {'len': 5, 'sum': 0.501}}]
[datetime.datetime(2019, 11, 8, 6, 45, 2, 628707), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 6, 50, 2, 664127), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 6, 55, 1, 759531), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 0, 2, 14916), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 5, 2, 628188), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 10, 2, 300711), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 15, 1, 989197), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 20, 1, 846490), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 25, 2, 489724), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 30, 2, 553134), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 35, 2, 503077), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 40, 2, 627853), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 45, 2, 385034), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 50, 2, 331880), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 7, 55, 2, 332102), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 0, 2, 478486), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 5, 1, 934952), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 10, 2, 212868), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 15, 2, 617759), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 20, 1, 999865), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 25, 2, 168948), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 30, 2, 105723), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 35, 2, 667983), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 40, 2, 628623), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 45, 1, 807345), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 50, 2, 497167), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 8, 55, 2, 629940), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 0, 2, 699855), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 5, 1, 800460), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 10, 9, 603000), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 15, 2, 226007), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 20, 2, 400599), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 25, 2, 117319), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 30, 2, 671781), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 35, 2, 308752), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 40, 2, 510561), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 45, 2, 127672), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 50, 1, 826623), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 9, 55, 2, 281376), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 0, 1, 797188), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 5, 2, 151824), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 10, 2, 606165), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 15, 2, 176420), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 20, 1, 957844), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 25, 2, 147999), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 30, 2, 398449), {'all': {'len': 1, 'sum': 0.107}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 35, 2, 219367), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 8, 10, 40, 1, 756758), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
