[datetime.datetime(2019, 10, 23, 0, 0, 1, 846141), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 5, 2, 461935), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 10, 2, 669851), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 15, 2, 253832), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 20, 1, 930412), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 25, 2, 241758), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 30, 2, 782373), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 35, 2, 585542), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 0, 40, 2, 738571), {'all': {'len': 15, 'sum': 92.32}, 'pa': {'len': 8, 'sum': 91.633}, 'tbs': {'len': 4, 'sum': 0.401}}]
[datetime.datetime(2019, 10, 23, 0, 45, 2, 681812), {'all': {'len': 52, 'sum': 6.947999999999999}, 'pa': {'len': 11, 'sum': 1.0030000000000001}, 'tbs': {'len': 8, 'sum': 1.151}}]
[datetime.datetime(2019, 10, 23, 0, 50, 2, 718295), {'all': {'len': 49, 'sum': 4.6080000000000005}, 'pa': {'len': 4, 'sum': 0.33999999999999997}, 'tbs': {'len': 29, 'sum': 2.7979999999999996}}]
[datetime.datetime(2019, 10, 23, 1, 0, 2, 472562), {'all': {'len': 19, 'sum': 1.773}, 'pa': {'len': 3, 'sum': 0.28400000000000003}, 'tbs': {'len': 13, 'sum': 1.2189999999999999}}]
[datetime.datetime(2019, 10, 23, 1, 5, 2, 415090), {'all': {'len': 28, 'sum': 2.77}, 'pa': {'len': 3, 'sum': 0.325}, 'tbs': {'len': 18, 'sum': 1.7800000000000002}}]
[datetime.datetime(2019, 10, 23, 1, 10, 2, 527151), {'all': {'len': 24, 'sum': 2.432}, 'pa': {'len': 2, 'sum': 0.21400000000000002}, 'tbs': {'len': 11, 'sum': 1.1429999999999998}}]
[datetime.datetime(2019, 10, 23, 1, 15, 1, 763436), {'all': {'len': 10, 'sum': 0.9239999999999999}, 'pa': {'len': 2, 'sum': 0.154}, 'tbs': {'len': 6, 'sum': 0.5900000000000001}}]
[datetime.datetime(2019, 10, 23, 1, 20, 2, 584665), {'all': {'len': 13, 'sum': 1.3370000000000002}, 'pa': {'len': 5, 'sum': 0.447}, 'tbs': {'len': 1, 'sum': 0.093}}]
[datetime.datetime(2019, 10, 23, 1, 30, 2, 435487), {'all': {'len': 12, 'sum': 1.088}, 'pa': {'len': 5, 'sum': 0.43900000000000006}, 'tbs': {'len': 3, 'sum': 0.279}}]
[datetime.datetime(2019, 10, 23, 1, 35, 2, 437124), {'all': {'len': 16, 'sum': 1.4440000000000002}, 'pa': {'len': 7, 'sum': 0.6499999999999999}, 'tbs': {'len': 3, 'sum': 0.28300000000000003}}]
[datetime.datetime(2019, 10, 23, 1, 40, 2, 102227), {'all': {'len': 9, 'sum': 0.843}, 'pa': {'len': 4, 'sum': 0.382}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 10, 23, 1, 45, 2, 309528), {'all': {'len': 25, 'sum': 2.5959999999999996}, 'pa': {'len': 5, 'sum': 0.452}, 'tbs': {'len': 12, 'sum': 1.3030000000000002}}]
[datetime.datetime(2019, 10, 23, 1, 50, 2, 208620), {'all': {'len': 17, 'sum': 1.7449999999999999}, 'pa': {'len': 4, 'sum': 0.37}, 'tbs': {'len': 5, 'sum': 0.536}}]
[datetime.datetime(2019, 10, 23, 1, 55, 2, 40362), {'all': {'len': 20, 'sum': 2.3480000000000003}, 'pa': {'len': 4, 'sum': 0.414}, 'tbs': {'len': 11, 'sum': 1.333}}]
[datetime.datetime(2019, 10, 23, 2, 0, 2, 649083), {'all': {'len': 19, 'sum': 2.353}, 'pa': {'len': 5, 'sum': 0.663}, 'tbs': {'len': 11, 'sum': 1.3599999999999999}}]
[datetime.datetime(2019, 10, 23, 2, 5, 2, 435430), {'all': {'len': 24, 'sum': 2.4490000000000003}, 'pa': {'len': 9, 'sum': 0.8389999999999999}, 'tbs': {'len': 9, 'sum': 0.992}}]
[datetime.datetime(2019, 10, 23, 2, 10, 2, 664510), {'all': {'len': 14, 'sum': 1.46}, 'pa': {'len': 5, 'sum': 0.5}, 'tbs': {'len': 7, 'sum': 0.6499999999999999}}]
