[datetime.datetime(2019, 11, 1, 0, 0, 1, 949372), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 5, 2, 305685), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 10, 2, 356522), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 15, 2, 210874), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 20, 2, 29437), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 25, 1, 845664), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 30, 1, 902147), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 35, 2, 491223), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 40, 2, 290047), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 45, 2, 238627), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 50, 1, 906251), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 0, 55, 2, 653168), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 1, 0, 2, 557616), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 1, 5, 1, 996301), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 1, 10, 1, 879047), {'all': {'len': 21, 'sum': 81.52100000000002}, 'pa': {'len': 8, 'sum': 79.97800000000001}, 'tbs': {'len': 8, 'sum': 1.064}}]
[datetime.datetime(2019, 11, 1, 1, 15, 2, 270863), {'all': {'len': 19, 'sum': 1.609}, 'pa': {'len': 5, 'sum': 0.451}, 'tbs': {'len': 10, 'sum': 0.8489999999999999}}]
[datetime.datetime(2019, 11, 1, 1, 25, 2, 43542), {'all': {'len': 18, 'sum': 1.9920000000000002}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 12, 'sum': 1.4}}]
[datetime.datetime(2019, 11, 1, 1, 30, 2, 33653), {'all': {'len': 13, 'sum': 1.353}, 'pa': {'len': 5, 'sum': 0.463}, 'tbs': {'len': 6, 'sum': 0.661}}]
[datetime.datetime(2019, 11, 1, 1, 35, 2, 392799), {'all': {'len': 14, 'sum': 1.2359999999999998}, 'pa': {'len': 2, 'sum': 0.15}, 'tbs': {'len': 5, 'sum': 0.46900000000000003}}]
[datetime.datetime(2019, 11, 1, 1, 40, 2, 625720), {'all': {'len': 25, 'sum': 2.4040000000000004}, 'pa': {'len': 2, 'sum': 0.173}, 'tbs': {'len': 16, 'sum': 1.5499999999999998}}]
[datetime.datetime(2019, 11, 1, 1, 45, 2, 382135), {'all': {'len': 16, 'sum': 1.5219999999999998}, 'pa': {'len': 3, 'sum': 0.22999999999999998}, 'tbs': {'len': 12, 'sum': 1.185}}]
[datetime.datetime(2019, 11, 1, 1, 50, 2, 270750), {'all': {'len': 14, 'sum': 1.29}, 'pa': {'len': 7, 'sum': 0.6389999999999999}, 'tbs': {'len': 2, 'sum': 0.203}}]
[datetime.datetime(2019, 11, 1, 1, 55, 2, 665852), {'all': {'len': 15, 'sum': 1.8969999999999998}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 11, 'sum': 1.454}}]
[datetime.datetime(2019, 11, 1, 2, 0, 2, 424045), {'all': {'len': 14, 'sum': 1.6620000000000001}, 'pa': {'len': 8, 'sum': 1.0070000000000001}, 'tbs': {'len': 4, 'sum': 0.462}}]
[datetime.datetime(2019, 11, 1, 2, 5, 1, 872221), {'all': {'len': 2, 'sum': 0.154}, 'pa': {'len': 1, 'sum': 0.077}, 'tbs': {'len': 1, 'sum': 0.077}}]
[datetime.datetime(2019, 11, 1, 2, 10, 2, 410682), {'all': {'len': 37, 'sum': 3.4060000000000006}, 'pa': {'len': 4, 'sum': 0.34199999999999997}, 'tbs': {'len': 21, 'sum': 1.991}}]
[datetime.datetime(2019, 11, 1, 2, 15, 2, 203901), {'all': {'len': 8, 'sum': 0.7769999999999999}, 'pa': {'len': 4, 'sum': 0.37}, 'tbs': {'len': 2, 'sum': 0.187}}]
[datetime.datetime(2019, 11, 1, 2, 20, 2, 409427), {'all': {'len': 23, 'sum': 2.083}, 'pa': {'len': 10, 'sum': 0.913}, 'tbs': {'len': 10, 'sum': 0.9}}]
[datetime.datetime(2019, 11, 1, 2, 25, 1, 933493), {'all': {'len': 9, 'sum': 0.6789999999999999}, 'pa': {'len': 5, 'sum': 0.393}, 'tbs': {'len': 3, 'sum': 0.21300000000000002}}]
[datetime.datetime(2019, 11, 1, 2, 30, 1, 908233), {'all': {'len': 15, 'sum': 1.341}, 'pa': {'len': 7, 'sum': 0.6389999999999999}, 'tbs': {'len': 5, 'sum': 0.453}}]
[datetime.datetime(2019, 11, 1, 2, 35, 2, 167408), {'all': {'len': 18, 'sum': 1.6979999999999997}, 'pa': {'len': 7, 'sum': 0.611}, 'tbs': {'len': 3, 'sum': 0.29000000000000004}}]
[datetime.datetime(2019, 11, 1, 2, 45, 2, 214595), {'all': {'len': 11, 'sum': 1.046}, 'pa': {'len': 4, 'sum': 0.336}, 'tbs': {'len': 7, 'sum': 0.71}}]
[datetime.datetime(2019, 11, 1, 2, 50, 2, 165454), {'all': {'len': 30, 'sum': 3.335}, 'pa': {'len': 11, 'sum': 1.2169999999999999}, 'tbs': {'len': 14, 'sum': 1.6600000000000001}}]
[datetime.datetime(2019, 11, 1, 3, 0, 1, 758738), {'all': {'len': 3, 'sum': 0.27}, 'pa': {'len': 1, 'sum': 0.09}, 'tbs': {'len': 1, 'sum': 0.09}}]
[datetime.datetime(2019, 11, 1, 3, 5, 1, 740943), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 10, 1, 687020), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 15, 1, 820486), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 20, 2, 215595), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 25, 2, 181934), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 30, 2, 282409), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 35, 2, 592256), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 40, 2, 320226), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 45, 1, 753038), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 50, 2, 283516), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 3, 55, 2, 603713), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 0, 2, 279338), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 5, 2, 286048), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 10, 2, 301568), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 15, 1, 829793), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 20, 1, 893053), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 25, 2, 564223), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 30, 2, 250786), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 35, 1, 939050), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 40, 2, 641809), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 45, 2, 618512), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 50, 1, 796295), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 4, 55, 2, 401952), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 0, 2, 202687), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 5, 2, 559392), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 10, 2, 27701), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 15, 2, 289184), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 20, 1, 815205), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 25, 2, 144550), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 30, 2, 438550), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 35, 1, 846876), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 40, 2, 382022), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 45, 2, 231366), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 50, 1, 792488), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 5, 55, 2, 78784), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 0, 2, 460492), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 5, 2, 618694), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 10, 1, 822473), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 15, 1, 844209), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 20, 2, 608635), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 25, 2, 112263), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 30, 2, 507434), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 35, 2, 392495), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 40, 2, 426256), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 45, 2, 525454), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 50, 2, 552541), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 6, 55, 2, 426088), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 7, 0, 2, 484056), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 7, 5, 2, 36388), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 1, 7, 10, 2, 250594), {'all': {'len': 12, 'sum': 106.774}, 'pa': {'len': 7, 'sum': 106.242}, 'tbs': {'len': 2, 'sum': 0.16599999999999998}}]
[datetime.datetime(2019, 11, 1, 7, 25, 2, 28040), {'all': {'len': 13, 'sum': 1.275}, 'pa': {'len': 3, 'sum': 0.279}, 'tbs': {'len': 5, 'sum': 0.525}}]
[datetime.datetime(2019, 11, 1, 7, 30, 2, 31507), {'all': {'len': 38, 'sum': 4.581}, 'pa': {'len': 7, 'sum': 0.669}, 'tbs': {'len': 25, 'sum': 3.2660000000000005}}]
[datetime.datetime(2019, 11, 1, 7, 35, 1, 717867), {'all': {'len': 27, 'sum': 2.9210000000000003}, 'pa': {'len': 6, 'sum': 0.623}, 'tbs': {'len': 10, 'sum': 1.087}}]
